STPp,5I,37168,37198
STPp,6E,37199,37368
STPp,6I,37369,37402
STPa,23E,37411,37826
STPa,23I,37827,37943
STPa,4E,37944,38073
STPa,4I,38074,38105
STPa,5E,38106,38247
STPa,5I,38248,38278
STPa,6E,38279,38448
STPa,6I,38449,38482
46,23E,38491,38815
46,23I,38816,38906
46,4E,38907,39012
46,4I,39013,39038
46,5E,39039,39156
46,5I,39157,39182
46,6E,39183,39340
46,6I,39341,39372
AITd,23E,39381,39872
AITd,23I,39873,40010
AITd,4E,40011,40190
AITd,4I,40191,40235
AITd,5E,40236,40404
AITd,5I,40405,40441
AITd,6E,40442,40644
AITd,6I,40645,40685
TH,23E,40694,40940
TH,23I,40941,41009
TH,5E,41010,41242
TH,5I,41243,41293
TH,6E,41294,41401
TH,6I,41402,41423
